"id","name"
1,"William Allen Bixler"
2,"Caroline E. Jacobs"
3,"Lyster H. Dewey and Jason L. Merrill"
4,"Frederick F. Moore"
5,"Anonymous"
6,"Donald Ferguson"
7,"Various"
8,"Eugene Gardner"
9,"Leo Tolstoy"
10,"Louis Antoine Fauvelet de Bourrienne"
11,"Kate Langley Bosher"
12,"A  Merchant - Anonymous"
13,"William Black"
14,"M. H. Spielmann"
15,"Godmunder Kamban"
16,"K. F. Purdon"
17,"H. G. Wells"
18,"Algernon Charles Swinburne"
19,"Jos� Maria E�a de Queiroz"
20,"John Jay Smith"
21,"John Talbot Smith"
22,"Arthur M. Winfield"
23,"Samuel Richardson"
24,"Wu Chu  Hou"
25,"Giordano Bruno"
26,"Frederich Schiller"
27,"John Payne"
28,"Samuel William Johnson"
29,"Frank Richard Stockton"
30,"Percy Bysshe Shelley"
31,"Lilyan Stratton"
32,"E. Oe. Somerville and Martin Ross"
33,"Svend Fleuron"
34,"Charles Dudley Warner"
35,"Friedrich Gerst�cker"
36,"Charles W. Chesnutt"
37,"Jules Michelet"
38,"George Gissing"
39,"Prosper M�rim�e"
40,"Alexis Bouvier"
41,"Hans Christian Andersen"
42,"Albert Parker Fitch"
43,"Woods Hutchinson"
44,"Unknown"
45,"James MacPherson"
46,"Alphonse Daudet"
47,"Ant�nio Nobre"
48,"George M. Schweig"
49,"Research Department of the Universal House of Justice"
50,"R. A. van Sandick"
51,"Robert Louis Stevenson"
52,"Rush Rhees"
53,"James Legge"
54,"Max Brand"
55,"Henry Louis Mencken"
56,"Walter Besant"
57,"John Galsworthy"
58,"Pietari P�iv�rinta"
59,"Henry James"
60,"James Buchanan"
61,"Raphael Semmes"
62,"John Conroy Hutcheson"
63,"Matthew Holbeche Bloxam"
64,"David Graham Phillips"
65,"Henry Beam Piper"
66,"George Eliot"
67,"Frank R. Stockton"
68,"Mark Twain (Samuel Clemens)"
69,"Nehemiah Adams"
70,"Max du Veuzit"
71,"Glyn Barlow"
72,"James Fenimore Cooper"
73,"Tennyson"
74,"Roger Ascham"
75,"Herman Bang"
76,"Andrew Lang"
77,"Gilbert Parker"
78,"Reuben Post Halleck"
79,"Lewis Carroll"
80,"Jules Verne"
81,"Rabindranath Tagore"
82,"Jhou Ji"
83,"Charles Dickens and Wilkie Collins"
84,"Felix Klein"
85,"Jules Lermina"
86,"Raul Proen�a"
87,"Jean-Henri Fabre"
88,"George Meredith"
89,"Joseph Ladue"
